NAME,TYPE
T7ptag,mRNA
supD,mRNA
gfp,mRNA
yfp,mRNA
rfp,mRNA
cfp,mRNA
lacZ,mRNA
lacZalpha-ccdB,mRNA
ntrC,mRNA
T7,mRNA
lacI(+IPTG),"mRNA,IPTG"
lacI,mRNA
tetR(+aTc),"mRNA,aTc"
tetR,mRNA
cI,mRNA
cI434,mRNA
lexA(+nalidixic-acid),"mRNA,nalidixic-acid"
lexA,mRNA
araC,mRNA
luxR,mRNA
luxI,mRNA
lasR,mRNA
lasI,mRNA
rhlR,mRNA
rhlI,mRNA
nahR,mRNA
rtTA,mRNA
hrpR,mRNA
hrpS,mRNA
aiiA,mRNA
T7-C,mRNA
T7-N,mRNA
ccdA,mRNA
ccdB,mRNA
mcbR,mRNA
R73delta,mRNA
invF,mRNA
sicA,mRNA
mxiE,mRNA
ipgC,mRNA
exsDA,mRNA
exsC,mRNA